,city,Lattitude,temp,Humidity,Cloudiness,WindSpeed
0,victoria,22.29,14.95,58,20,8.2
1,rikitea,-23.12,26.18,83,8,3.31
2,hobart,-42.88,20.13,28,65,7.7
3,albany,42.6,1.23,84,90,3.1
4,hilo,19.73,20.19,73,90,0.94
5,busselton,-33.65,38.08,7,0,6.89
6,port blair,11.67,27.0,54,10,3.1
7,naze,28.37,21.38,72,75,6.7
8,hays,30.05,11.22,93,1,3.1
9,vardo,70.37,-13.0,78,100,9.8
10,chumikan,54.72,-14.19,81,82,2.37
11,vaini,-21.2,29.0,79,40,3.1
12,cidreira,-30.18,24.69,72,53,6.76
13,pevek,69.7,-19.58,92,100,1.48
14,ghanzi,-21.57,24.1,31,38,5.48
15,marsh harbour,26.54,20.88,50,98,2.36
16,saint-philippe,-21.36,26.67,54,20,4.1
17,yulara,-25.24,38.0,8,0,8.2
18,esna,25.29,6.0,75,0,1.0
19,acajutla,13.59,26.86,79,10,5.86
20,touros,-5.2,26.0,94,75,1.5
21,gat,31.61,7.3,87,100,1.0
22,punta arenas,-53.15,10.31,66,75,5.7
23,arraial do cabo,-22.97,24.22,80,61,5.69
24,mataura,-46.19,17.22,73,88,1.79
25,port alfred,-33.59,18.89,71,20,2.68
26,campbell river,50.02,6.31,93,75,4.6
27,cobija,-11.03,24.84,86,55,1.15
28,hermanus,-34.42,16.54,86,83,0.45
29,zakopane,49.3,-5.25,92,63,1.5
30,ushuaia,-54.8,9.0,66,75,2.95
31,nenjiang,49.18,-13.28,93,99,1.97
32,galveston,29.37,13.99,87,40,2.1
33,atuona,-9.8,27.28,71,55,4.57
34,saint george,37.1,8.08,76,90,2.1
35,bredasdorp,-34.53,17.13,59,90,1.0
36,udachnyy,66.42,-29.0,75,90,1.11
37,ossora,59.24,-1.83,95,100,6.73
38,ancud,-41.87,8.0,87,3,1.0
39,cape town,-33.93,17.7,77,20,3.1
40,bluff,-46.6,17.22,73,96,1.79
41,blythe,33.61,14.66,47,1,3.1
42,shache,38.42,0.56,89,1,0.99
43,palaikastron,35.2,15.56,70,100,3.13
44,lumby,50.25,1.63,100,75,1.0
45,lebu,-37.62,11.73,71,41,2.25
